second_level_domain,top_level_domain,reason,timestamp
apu,com,NXDOMAIN/Timeout,2025-09-26 12:24:02
amo,com,NXDOMAIN/Timeout,2025-09-26 12:24:03
ao5,com,NXDOMAIN/Timeout,2025-09-26 12:24:03
apn,com,NXDOMAIN/Timeout,2025-09-26 12:24:04
ao7,com,NXDOMAIN/Timeout,2025-09-26 12:24:04
aoy,com,NXDOMAIN/Timeout,2025-09-26 12:24:06
arb,com,NXDOMAIN/Timeout,2025-09-26 12:24:06
apt,com,NXDOMAIN/Timeout,2025-09-26 12:24:06
aqw,com,NXDOMAIN/Timeout,2025-09-26 12:24:06
an9,com,NXDOMAIN/Timeout,2025-09-26 12:24:07
aoq,com,NXDOMAIN/Timeout,2025-09-26 12:24:07
api,com,NXDOMAIN/Timeout,2025-09-26 12:24:07
apo,com,NXDOMAIN/Timeout,2025-09-26 12:24:07
ap1,com,NXDOMAIN/Timeout,2025-09-26 12:24:08
ark,com,NXDOMAIN/Timeout,2025-09-26 12:24:08
